('As', 'Ts') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('As', 'Th') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('As', 'Td') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ah', 'Ts') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ah', 'Th') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ah', 'Td') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ad', 'Ts') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ad', 'Th') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ac', 'Ts') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ac', 'Th') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('Ac', 'Td') [2, [7, 7, 11, 12, 14]] [2, [10, 10, 9, 12, 14]]
('2s', '2h') [3, [2, 2, 7, 7, 12]] [4, [2, 2, 2, 10, 12]]
('2s', '2c') [3, [2, 2, 7, 7, 12]] [4, [2, 2, 2, 10, 12]]
('2s', 'Ts') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2s', 'Th') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2s', 'Td') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2h', '2c') [3, [2, 2, 7, 7, 12]] [4, [2, 2, 2, 10, 12]]
('2h', 'Ts') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2h', 'Th') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2h', 'Td') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2c', 'Ts') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2c', 'Th') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('2c', 'Td') [2, [7, 7, 10, 11, 12]] [3, [2, 2, 10, 10, 12]]
('3s', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3s', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3s', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3h', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3h', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3h', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3d', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3d', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3c', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3c', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('3c', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4s', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4s', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4s', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4h', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4h', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4h', 'Td') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4d', 'Ts') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
('4d', 'Th') [2, [7, 7, 10, 11, 12]] [2, [10, 10, 7, 9, 12]]
